t [s],Step_Time(s),I [A],V [V]
8839.714323,289.6225571,0.824945033,3.114792824
8840.715233,290.6234668,0.825125515,3.114485025
8841.717323,291.6255532,0.825305939,3.114485025
8842.718333,292.6265622,0.825305939,3.114485025
8843.720393,293.6286233,0.825125515,3.114485025
8844.722693,294.6309234,0.825125515,3.114792824
8845.726533,295.6347692,0.825305939,3.114792824
8846.727573,296.6358093,0.825125515,3.114485025
8847.729613,297.6378462,0.825125515,3.114792824
8848.730723,298.6389579,0.825125515,3.114792824
8849.732723,299.6409532,0.825125515,3.115100622
8850.735823,300.6440521,0.824945033,3.115100622
8851.736813,301.6450468,0.825125515,3.114792824
8852.738853,302.6470902,0.824945033,3.115100622
8853.738943,303.6471803,0.825305939,3.114792824
8854.741043,304.6492725,0.825125515,3.115408421
8855.751103,305.6593381,0.824945033,3.115408421
8856.754063,306.6623007,0.825305939,3.115100622
8857.754183,307.6624139,0.825125515,3.115408421
8858.756133,308.6643645,0.825125515,3.115100622
8859.757293,309.6655263,0.825125515,3.115100622
8860.761373,310.6696111,0.825305939,3.115100622
8861.762283,311.6705154,0.825125515,3.115100622
8862.763373,312.6716087,0.825125515,3.115408421
8863.764563,313.6727916,-1.649980068,3.545056343
8864.767463,314.6756954,-1.649980068,3.549672842
8865.767533,315.6757697,-1.649799585,3.552750587
8866.769623,316.6778523,-1.649799585,3.555212736
8867.770703,317.6789391,-1.649980068,3.557982683
8868.771683,318.6799153,-1.649980068,3.56075263
8869.772753,319.6809909,-1.649980068,3.562599182
8870.774763,320.6829973,-1.649980068,3.564753532
8871.774983,321.6832144,0.000631677,3.280681133
8872.775823,322.6840567,0.000270769,3.279757977
8873.775913,323.6841452,0.000451223,3.27914238
8874.786073,324.6943047,0.000451223,3.27914238
8875.787013,325.6952429,0.0000903,3.279450178
8876.788063,326.6962953,0.000451223,3.279450178
8877.793083,327.7013144,0.000270769,3.279450178
8878.794273,328.7025051,0.000451223,3.279757977
8879.799173,329.7074057,0.000270769,3.279757977
8880.799413,330.7076443,0.000451223,3.279450178
8881.800283,331.7085163,0.000270769,3.280065775
8882.801423,332.7096546,0.000270769,3.280065775
8883.804503,333.7127381,0.000451223,3.280373335
8884.806493,334.7147249,0.000270769,3.280681133
8885.807583,335.7158124,0.000451223,3.280681133
8886.807613,336.7158428,0.000451223,3.280681133
8887.809673,337.717902,0.000270769,3.280681133
8888.812713,338.720947,0.000451223,3.280681133
8889.814783,339.7230127,0.000270769,3.28129673
8890.817713,340.7259515,0.000270769,3.28129673
8891.820763,341.7289988,0.000451223,3.281604528
8892.820863,342.7290989,0.000451223,3.281912327
8893.824973,343.733208,0.000270769,3.281912327
8894.826073,344.7343059,0.000270769,3.281912327
8895.835973,345.7442028,0.000270769,3.281912327
8896.838013,346.7462496,0.000451223,3.282220125
8897.839333,347.7475635,0.000270769,3.282527924
8898.840163,348.7483973,0.000451223,3.282527924
8899.842443,349.750674,0.000270769,3.282835484
8900.845273,350.7535069,0.000270769,3.282835484
8901.846283,351.7545205,0.000451223,3.282835484
8902.850493,352.7587304,0.000270769,3.283143282
8903.852693,353.7609224,0.000270769,3.283143282
8904.857433,354.7656651,0.000451223,3.283143282
8905.859293,355.7675294,0.000270769,3.28345108
8906.860623,356.7688579,0.000270769,3.283758879
8907.864713,357.7729427,0.000270769,3.28345108
8908.865723,358.7739563,0.000270769,3.283758879
8909.865823,359.7740614,0.000451223,3.283758879
8910.866823,360.7750585,0.000270769,3.283758879
8911.097553,361.0057852,0.000270769,3.284066677
8911.099113,1.15E-06,0,3.283758879
8912.103023,1.003040026,0.000451223,3.283758879
8913.103983,2.0040005,0.000270769,3.284374475
8914.104983,3.00500178,0.000270769,3.284066677
8915.105083,4.005097635,0.000451223,3.284066677
8916.108133,5.008156525,0.000270769,3.284374475
8917.108173,6.008193096,0.000270769,3.284682274
8918.109373,7.00938955,0.000451223,3.284374475
8919.112283,8.012301385,0.000270769,3.284682274
8920.116333,9.01635501,0.000270769,3.284990072
8921.117493,10.01751682,0.000451223,3.284990072
8922.119543,11.01956519,0.000270769,3.284990072
8923.121553,12.02157044,0.000270769,3.284990072
8924.124533,13.02455426,0.000270769,3.285297871
8925.125683,14.02569952,0.000270769,3.284990072
8926.126653,15.02667231,0.000270769,3.285605431
8927.126803,16.02681744,0.000270769,3.285605431
8928.128713,17.028733,0.000270769,3.285605431
8929.129773,18.02979395,0.412607908,3.213587284
8930.130863,19.03088493,0.412607908,3.213587284
8931.132883,20.0329025,0.412788361,3.212663889
8932.136023,21.03604146,0.412607908,3.212356091
8933.145943,22.04595841,0.412607908,3.212048292
8934.146073,23.04609276,0.412607908,3.211432695
8935.148183,24.04819772,0.412607908,3.211125135
8936.151123,25.05114651,0.412788361,3.210817337
8937.153183,26.0531995,0.412788361,3.210509539
8938.154233,27.05425159,0.412607908,3.21020174
8939.155263,28.0552802,0.412607908,3.21020174
8940.156633,29.05664912,0.412788361,3.209893942
8941.159433,30.05944816,0.412788361,3.209586143
8942.161453,31.06147074,0.412607908,3.209278345
8943.163443,32.06346598,0.412607908,3.209278345
8944.165593,33.06560713,0.412788361,3.208970547
8945.166583,34.06660264,0.412788361,3.208662748
8946.167103,35.0671258,0.412607908,3.208355188
8947.167653,36.06767436,0.412607908,3.208355188
8948.168883,37.06890546,0.412788361,3.20804739
8949.168923,38.06893742,0.412607908,3.20804739
8950.170853,39.07087376,0.412788361,3.207739592
8951.173953,40.07396999,0.412607908,3.207739592
